,idx,user_index,label,kind,idy,sim,topic_start
66360,0,599,C,recommendation,158,0,L
66361,0,599,C,recommendation,158,0,L
66362,0,599,C,recommendation,158,0,L
66363,0,599,C,recommendation,158,0,L
66364,0,599,CL,recommendation,158,0,L
66365,0,599,CL,recommendation,158,0,L
66366,0,599,CL,recommendation,158,0,L
66367,0,599,C,recommendation,158,0,L
66368,0,599,C,recommendation,158,0,L
66369,0,599,CL,recommendation,158,0,L
66370,0,599,CL,recommendation,158,0,L
66371,0,599,C,recommendation,158,0,L
66372,0,599,C,recommendation,158,0,L
66373,0,599,C,recommendation,158,0,L
66374,0,599,CL,recommendation,158,0,L
66375,0,599,C,recommendation,158,0,L
66376,0,599,C,recommendation,158,0,L
66377,0,599,CL,recommendation,158,0,L
66378,0,599,CL,recommendation,158,0,L
66379,0,599,C,recommendation,158,0,L
66380,0,599,CL,choice,158,0,L
66381,1,599,CL,recommendation,158,0,L
66382,1,599,CL,recommendation,158,0,L
66383,1,599,CL,recommendation,158,0,L
66384,1,599,CL,recommendation,158,0,L
66385,1,599,C,recommendation,158,0,L
66386,1,599,CL,recommendation,158,0,L
66387,1,599,C,recommendation,158,0,L
66388,1,599,CL,recommendation,158,0,L
66389,1,599,CL,recommendation,158,0,L
66390,1,599,CL,recommendation,158,0,L
66391,1,599,C,recommendation,158,0,L
66392,1,599,CL,recommendation,158,0,L
66393,1,599,C,recommendation,158,0,L
66394,1,599,C,recommendation,158,0,L
66395,1,599,CL,recommendation,158,0,L
66396,1,599,CL,recommendation,158,0,L
66397,1,599,CL,recommendation,158,0,L
66398,1,599,CL,recommendation,158,0,L
66399,1,599,C,recommendation,158,0,L
66400,1,599,CL,recommendation,158,0,L
66401,1,599,CL,choice,158,0,L
66402,2,599,CL,recommendation,158,0,L
66403,2,599,CL,recommendation,158,0,L
66404,2,599,C,recommendation,158,0,L
66405,2,599,CL,recommendation,158,0,L
66406,2,599,CL,recommendation,158,0,L
66407,2,599,CL,recommendation,158,0,L
66408,2,599,CL,recommendation,158,0,L
66409,2,599,CL,recommendation,158,0,L
66410,2,599,CL,recommendation,158,0,L
66411,2,599,CL,recommendation,158,0,L
66412,2,599,CL,recommendation,158,0,L
66413,2,599,CL,recommendation,158,0,L
66414,2,599,C,recommendation,158,0,L
66415,2,599,C,recommendation,158,0,L
66416,2,599,CL,recommendation,158,0,L
66417,2,599,C,recommendation,158,0,L
66418,2,599,CL,recommendation,158,0,L
66419,2,599,CL,recommendation,158,0,L
66420,2,599,C,recommendation,158,0,L
66421,2,599,C,recommendation,158,0,L
66422,2,599,CL,choice,158,0,L
66423,3,599,C,recommendation,158,0,L
66424,3,599,CL,recommendation,158,0,L
66425,3,599,CL,recommendation,158,0,L
66426,3,599,CL,recommendation,158,0,L
66427,3,599,CL,recommendation,158,0,L
66428,3,599,CL,recommendation,158,0,L
66429,3,599,CL,recommendation,158,0,L
66430,3,599,CL,recommendation,158,0,L
66431,3,599,CL,recommendation,158,0,L
66432,3,599,CL,recommendation,158,0,L
66433,3,599,C,recommendation,158,0,L
66434,3,599,CL,recommendation,158,0,L
66435,3,599,C,recommendation,158,0,L
66436,3,599,CL,recommendation,158,0,L
66437,3,599,CL,recommendation,158,0,L
66438,3,599,CL,recommendation,158,0,L
66439,3,599,CL,recommendation,158,0,L
66440,3,599,C,recommendation,158,0,L
66441,3,599,CL,recommendation,158,0,L
66442,3,599,CL,recommendation,158,0,L
66443,3,599,CL,choice,158,0,L
66444,4,599,CL,recommendation,158,0,L
66445,4,599,CL,recommendation,158,0,L
66446,4,599,C,recommendation,158,0,L
66447,4,599,CL,recommendation,158,0,L
66448,4,599,CL,recommendation,158,0,L
66449,4,599,CL,recommendation,158,0,L
66450,4,599,C,recommendation,158,0,L
66451,4,599,C,recommendation,158,0,L
66452,4,599,CL,recommendation,158,0,L
66453,4,599,CL,recommendation,158,0,L
66454,4,599,CL,recommendation,158,0,L
66455,4,599,C,recommendation,158,0,L
66456,4,599,CL,recommendation,158,0,L
66457,4,599,C,recommendation,158,0,L
66458,4,599,CL,recommendation,158,0,L
66459,4,599,CL,recommendation,158,0,L
66460,4,599,CL,recommendation,158,0,L
66461,4,599,CL,recommendation,158,0,L
66462,4,599,C,recommendation,158,0,L
66463,4,599,C,recommendation,158,0,L
66464,4,599,C,choice,158,0,L
66465,5,599,CL,recommendation,158,0,L
66466,5,599,CL,recommendation,158,0,L
66467,5,599,CL,recommendation,158,0,L
66468,5,599,CL,recommendation,158,0,L
66469,5,599,CL,recommendation,158,0,L
66470,5,599,C,recommendation,158,0,L
66471,5,599,C,recommendation,158,0,L
66472,5,599,CL,recommendation,158,0,L
66473,5,599,CL,recommendation,158,0,L
66474,5,599,CL,recommendation,158,0,L
66475,5,599,C,recommendation,158,0,L
66476,5,599,CL,recommendation,158,0,L
66477,5,599,C,recommendation,158,0,L
66478,5,599,CL,recommendation,158,0,L
66479,5,599,CL,recommendation,158,0,L
66480,5,599,CL,recommendation,158,0,L
66481,5,599,CL,recommendation,158,0,L
66482,5,599,C,recommendation,158,0,L
66483,5,599,CL,recommendation,158,0,L
66484,5,599,C,recommendation,158,0,L
66485,5,599,CL,choice,158,0,L
66486,6,599,C,recommendation,158,0,L
66487,6,599,CL,recommendation,158,0,L
66488,6,599,CL,recommendation,158,0,L
66489,6,599,CL,recommendation,158,0,L
66490,6,599,CL,recommendation,158,0,L
66491,6,599,CL,recommendation,158,0,L
66492,6,599,C,recommendation,158,0,L
66493,6,599,CL,recommendation,158,0,L
66494,6,599,CL,recommendation,158,0,L
66495,6,599,C,recommendation,158,0,L
66496,6,599,CL,recommendation,158,0,L
66497,6,599,C,recommendation,158,0,L
66498,6,599,CL,recommendation,158,0,L
66499,6,599,CL,recommendation,158,0,L
66500,6,599,C,recommendation,158,0,L
66501,6,599,CL,recommendation,158,0,L
66502,6,599,CL,recommendation,158,0,L
66503,6,599,C,recommendation,158,0,L
66504,6,599,CL,recommendation,158,0,L
66505,6,599,CL,recommendation,158,0,L
66506,6,599,CL,choice,158,0,L
66507,7,599,CL,recommendation,158,0,L
66508,7,599,CL,recommendation,158,0,L
66509,7,599,CL,recommendation,158,0,L
66510,7,599,CL,recommendation,158,0,L
66511,7,599,CL,recommendation,158,0,L
66512,7,599,C,recommendation,158,0,L
66513,7,599,CL,recommendation,158,0,L
66514,7,599,CL,recommendation,158,0,L
66515,7,599,CL,recommendation,158,0,L
66516,7,599,C,recommendation,158,0,L
66517,7,599,CL,recommendation,158,0,L
66518,7,599,CL,recommendation,158,0,L
66519,7,599,CL,recommendation,158,0,L
66520,7,599,CL,recommendation,158,0,L
66521,7,599,C,recommendation,158,0,L
66522,7,599,CL,recommendation,158,0,L
66523,7,599,C,recommendation,158,0,L
66524,7,599,CL,recommendation,158,0,L
