,idx,user_index,label,kind,idy,sim,topic_start
13440,0,450,CL,recommendation,32,0,L
13441,0,450,L,recommendation,32,0,L
13442,0,450,CL,recommendation,32,0,L
13443,0,450,CL,recommendation,32,0,L
13444,0,450,CL,recommendation,32,0,L
13445,0,450,CL,recommendation,32,0,L
13446,0,450,CL,recommendation,32,0,L
13447,0,450,CL,recommendation,32,0,L
13448,0,450,CL,recommendation,32,0,L
13449,0,450,CL,recommendation,32,0,L
13450,0,450,L,recommendation,32,0,L
13451,0,450,CL,recommendation,32,0,L
13452,0,450,CL,recommendation,32,0,L
13453,0,450,L,recommendation,32,0,L
13454,0,450,L,recommendation,32,0,L
13455,0,450,CL,recommendation,32,0,L
13456,0,450,CL,recommendation,32,0,L
13457,0,450,CL,recommendation,32,0,L
13458,0,450,L,recommendation,32,0,L
13459,0,450,CL,recommendation,32,0,L
13460,0,450,CL,choice,32,0,L
13461,1,450,CL,recommendation,32,0,L
13462,1,450,L,recommendation,32,0,L
13463,1,450,CL,recommendation,32,0,L
13464,1,450,CL,recommendation,32,0,L
13465,1,450,CL,recommendation,32,0,L
13466,1,450,CL,recommendation,32,0,L
13467,1,450,CL,recommendation,32,0,L
13468,1,450,CL,recommendation,32,0,L
13469,1,450,CL,recommendation,32,0,L
13470,1,450,L,recommendation,32,0,L
13471,1,450,CL,recommendation,32,0,L
13472,1,450,L,recommendation,32,0,L
13473,1,450,L,recommendation,32,0,L
13474,1,450,CL,recommendation,32,0,L
13475,1,450,CL,recommendation,32,0,L
13476,1,450,CL,recommendation,32,0,L
13477,1,450,CL,recommendation,32,0,L
13478,1,450,CL,recommendation,32,0,L
13479,1,450,CL,recommendation,32,0,L
13480,1,450,L,recommendation,32,0,L
13481,1,450,CL,choice,32,0,L
13482,2,450,CL,recommendation,32,0,L
13483,2,450,L,recommendation,32,0,L
13484,2,450,CL,recommendation,32,0,L
13485,2,450,CL,recommendation,32,0,L
13486,2,450,CL,recommendation,32,0,L
13487,2,450,CL,recommendation,32,0,L
13488,2,450,CL,recommendation,32,0,L
13489,2,450,CL,recommendation,32,0,L
13490,2,450,L,recommendation,32,0,L
13491,2,450,CL,recommendation,32,0,L
13492,2,450,L,recommendation,32,0,L
13493,2,450,L,recommendation,32,0,L
13494,2,450,CL,recommendation,32,0,L
13495,2,450,CL,recommendation,32,0,L
13496,2,450,CL,recommendation,32,0,L
13497,2,450,CL,recommendation,32,0,L
13498,2,450,CL,recommendation,32,0,L
13499,2,450,CL,recommendation,32,0,L
13500,2,450,L,recommendation,32,0,L
13501,2,450,CL,recommendation,32,0,L
13502,2,450,CL,choice,32,0,L
13503,3,450,CL,recommendation,32,0,L
13504,3,450,L,recommendation,32,0,L
13505,3,450,CL,recommendation,32,0,L
13506,3,450,CL,recommendation,32,0,L
13507,3,450,CL,recommendation,32,0,L
13508,3,450,CL,recommendation,32,0,L
13509,3,450,CL,recommendation,32,0,L
13510,3,450,CL,recommendation,32,0,L
13511,3,450,L,recommendation,32,0,L
13512,3,450,L,recommendation,32,0,L
13513,3,450,CL,recommendation,32,0,L
13514,3,450,L,recommendation,32,0,L
13515,3,450,L,recommendation,32,0,L
13516,3,450,CL,recommendation,32,0,L
13517,3,450,CL,recommendation,32,0,L
13518,3,450,CL,recommendation,32,0,L
13519,3,450,CL,recommendation,32,0,L
13520,3,450,CL,recommendation,32,0,L
13521,3,450,CL,recommendation,32,0,L
13522,3,450,L,recommendation,32,0,L
13523,3,450,CL,choice,32,0,L
13524,4,450,L,recommendation,32,0,L
13525,4,450,CL,recommendation,32,0,L
13526,4,450,CL,recommendation,32,0,L
13527,4,450,CL,recommendation,32,0,L
13528,4,450,CL,recommendation,32,0,L
13529,4,450,CL,recommendation,32,0,L
13530,4,450,CL,recommendation,32,0,L
